product_online,price_online,category,labels
Shark - Rocket Bagless Vacuum - Copper/Gray,189.99,Electronics,1
"Seagate - Backup Plus Desktop 8TB External USB 3.0 Hard Drive - Black""",229.99,Electronics,1
"NETGEAR - Nighthawk DST AC1900 Wireless-AC Gigabit Router with DST Adapter - Black""",229.99,Electronics,1
"Samsung - UBD-K8500 4K Ultra HD Wi-Fi Built-In Blu-ray Player - Black""",399.99,Electronics,1
"Linksys - Wireless-AC Dual-Band Smart Wi-Fi Router with 4-Port Gigabit Ethernet Switch - Black""",234.99,Electronics,1
Dyson - AM06 Desk Fan - Iron/Blue,299.99,Electronics,1
Roku - 4 Streaming Media Player - Black,125.99,Electronics,1
"Brother - HL-L2360DW Wireless Mono Laser Printer - Black""",99.99,Electronics,1
"Apple - Apple TV® - Black""",69.99,Electronics,1
850438005227,59.99,Electronics,1
"Canon - SELPHY CP1200 Wireless Photo Printer - Black""",99.99,Electronics,1
"Turtle Beach - Ear Force XO SEVEN PRO Gaming Headset for Xbox One - Black/Green""",106.99,Electronics,1
Dyson - AM06 Desk Fan - Iron/Blue,299.99,Electronics,1
"Belkin - YourType Bluetooth Wireless Keypad for Apple® iMac®, Mac Pro® and MacBook® - Aluminum""",49.99,Electronics,1
"Asus - 17.3"" Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Silver/Copper/Black",NA,Electronics,1
"Asus - WirelessAC1900 Dual-Band Gigabit Wireless Router - Black""",179.99,Electronics,1
"Microsoft - Xbox One Media Remote - Black""",24.99,Electronics,1
"Sony - DUALSHOCK 4 Wireless Controller for PlayStation 4 - Wave Blue""",64.99,Electronics,1
"Sharp - 32"" Class (31.5"" Diag.) - LED - 1080p - HDTV - Black",179.99,Electronics,1
"Epson - WorkForce WF-2650 Wireless All-In-One Printer - Black""",69.99,Electronics,1
"Brother - HL-L2360DW Wireless Mono Laser Printer - Black""",99.99,Electronics,1
"Case Logic - 32 Capacity CD Wallet""",9.99,Electronics,1
"Amazon - Fire 7"" Tablet 16GB - Black""",59.99,Electronics,1
"PDP - Rock Candy Controller for Nintendo Wii - Blue""",19.99,Electronics,1
"Duracell - AA Batteries (8-Pack)""",7.49,Electronics,1
"Adobe Premiere Elements 14 - Windows|Mac""",69.99,Electronics,1
Blumoo - Smart Universal Remote Control - Black,99.99,Electronics,1
"NETGEAR - Powerline 1000 Network Extender - White""",69.99,Electronics,1
"Epson - WorkForce WF-3620 Wireless All-In-One Printer - Black""",89.99,Electronics,1
"BRAVEN - Portable Bluetooth Speaker - Black""",99.99,Electronics,1
"SodaStream - 1-Liter Carbonating Bottles (2-Pack) - Black""",15.99,Electronics,1
Shark - Rotator Professional Lift-Away HEPA Bagless 3-in-1 Upright Vacuum - Red,219.99,Electronics,1
Dyson - AM07 Tower Fan - White/Silver,399.99,Electronics,1
"Epson - Expression Premium XP-830 All-In-One Printer - Black""",129.99,Electronics,1
"Microsoft - Xbox One Play & Charge Kit - Black""",24.99,Electronics,1
"Brother - MFC-9130CW Color Wireless Laser Printer - Gray""",279.99,Electronics,1
"BISSELL - Lift-Off Deep Cleaner Pet Carpet Cleaner - Black""",229.99,Electronics,1
"Apple - Apple TV® - Black""",69.99,Electronics,1
"Brother - HL-3170CDW Color Laser Printer - Black""",179.99,Electronics,1
"Microsoft - Xbox One Play & Charge Kit - Black""",24.99,Electronics,1
3760001,34.99,Electronics,1
Actiontec - ScreenBeam Mini 2 Wireless Display Receiver - Black,49.99,Electronics,1
"Nintendo - amiibo Animal Crossing Cards (Series 2)""",5.99,Electronics,1
"Seagate - Backup Plus Slim 1TB External USB 3.0/2.0 Portable Hard Drive - Black""",59.99,Electronics,1
"Amazon - Fire TV Stick - Black""",39.99,Electronics,1
"Garmin - Suction Cup Mounting Kit for Nüvi 25x5 and 50 Series GPS""",24.99,Electronics,1
Sony - Premium Jacket Camera Case - Black,56.99,Electronics,1
"Seagate - Backup Plus Slim 1TB External USB 3.0/2.0 Portable Hard Drive - Black""",59.99,Electronics,1
"Parrot - Airborne Night SWAT Drone - Black""",99.99,Electronics,1
"Texas Instruments - BA II PLUS Financial Calculator""",31.99,Electronics,1
Samsung - 4 Series 500W 5.1-Ch. 3D / Smart Blu-ray Home Theater System - Black,219.99,Electronics,1
"Nintendo - amiibo Figure (Peach)""",12.99,Electronics,1
"VIZIO - 5.1-Channel Soundbar System with Wireless 6"" Subwoofer and Rear Satellite Speakers - Black",349.99,Electronics,1
Sony - Soft Carrying Case - Black,NA,Electronics,1
"Sony - AM/FM Dual-Alarm Clock Radio - Black""",29.99,Electronics,1
"Nest - Cam Security Cameras (3-Pack)""",499.99,Electronics,1
Shark - Navigator Lift-Away Deluxe Bagless Upright Vacuum - Blue,163.99,Electronics,1
Shark - Rotator Professional Lift-Away HEPA Bagless 3-in-1 Upright Vacuum - Red,219.99,Electronics,1
CyberPower - RoadTrip 175 Power Inverter - Black,54.99,Electronics,1
"OtterBox - Defender Series Case for Samsung Galaxy S7 Cell Phones - Pink""",49.99,Electronics,1
"Logitech - H600 Wireless Headset - Black""",49.99,Electronics,1
"Ooma - Telo VoIP Home Phone Service - Black""",99.99,Electronics,1
"Samsung - 400 Series 2.1-Channel Soundbar with 6.5"" Wireless Active Subwoofer - Black",209.99,Electronics,1
"Samsung - 400 Series 2.1-Channel Soundbar with 6.5"" Wireless Active Subwoofer - Black",209.99,Electronics,1
"TomTom - GO 60 S 6"" GPS with Lifetime Map and Traffic Updates - Black""",NA,Electronics,1
"Epson - WorkForce WF-3620 Wireless All-In-One Printer - Black""",89.99,Electronics,1
Garmin - Portable Auto Friction Mount for Select Garmin GPS,17.99,Electronics,1
"SanDisk - Ultra 32GB Micro USB/USB 3.0 Flash Drive - Black""",24.99,Electronics,1
Persona 4: Dancing All Night - PS Vita,49.99,Electronics,1
Dyson - AM07 Tower Fan - White/Silver,399.99,Electronics,1
"Texas Instruments - Scientific Calculator""",15.99,Electronics,1
"Speck - CandyShell Inked Case for Samsung Galaxy S7 Cell Phones - Vintage Bouquet Grey/Shocking Pink""",38.99,Electronics,1
"Texas Instruments - TI-83 Plus Graphing Calculator""",102.99,Electronics,1
"Amazon - Echo""",179.99,Electronics,1
Dyson - AM06 Desk Fan - Iron/Blue,299.99,Electronics,1
Samsung - Radiant360 R1 Speaker - Black,179.99,Electronics,1
Dyson - AM07 Tower Fan - White/Silver,399.99,Electronics,1
"Sunpak - PlatinumPlus 4200XL 42"" Tripod - Black",15.99,Electronics,1
Dyson - AM07 Tower Fan - White/Silver,399.99,Electronics,1
"Plantronics - Voyager 5220 Bluetooth Headset""",119.99,Electronics,1
Solo - Urban Laptop Briefcase - Black/Orange,24.99,Electronics,1
"Epson - WorkForce WF-3620 Wireless All-In-One Printer - Black""",89.99,Electronics,1
"Epson - WorkForce WF-3620 Wireless All-In-One Printer - Black""",89.99,Electronics,1
"Texas Instruments - TI-83 Plus Graphing Calculator""",102.99,Electronics,1
"Epson - Expression Home XP-430 Small-in-One Wireless All-In-One Printer""",59.99,Electronics,1
"Garmin - Suction Cup Mounting Kit for Nüvi 25x5 and 50 Series GPS""",24.99,Electronics,1
"Adobe Photoshop Elements 14 - Windows|Mac""",69.99,Electronics,1
"VIDBOX for Mac - Mac""",69.99,Electronics,1
"NETGEAR - AC1200 Dual-Band Gigabit Wi-Fi Range Extender - White""",98.99,Electronics,1
"NETGEAR - AC1200 Dual-Band Gigabit Wi-Fi Range Extender - White""",98.99,Electronics,1
883351477666,219.99,Electronics,1
"Brother - MFC-9130CW Color Wireless Laser Printer - Gray""",279.99,Electronics,1
"Logitech - Professional Presenter - Black""",61.99,Electronics,1
"Epson - WorkForce WF-2650 Wireless All-In-One Printer - Black""",69.99,Electronics,1
"Epson - Expression Premium XP-830 All-In-One Printer - Black""",129.99,Electronics,1
Dyson - AM06 Desk Fan - Iron/Blue,299.99,Electronics,1
"NETGEAR - Nighthawk X8 AC5300 Tri-Band Quad Stream Wireless-AC Router - Black""",382.99,Electronics,1
"Brother - DS-620 Mobile Color Page Scanner - White""",119.99,Electronics,1
"Case Logic - 32 Capacity CD Wallet""",9.99,Electronics,1
Nikon - Coolpix P530 16.1-Megapixel Digital Camera - Black,449.99,Electronics,1
Nikon - Coolpix P530 16.1-Megapixel Digital Camera - Black,449.99,Electronics,1
"Microsoft - Xbox One Play & Charge Kit - Black""",24.99,Electronics,1
Shark - Rocket Bagless Vacuum - Copper/Gray,189.99,Electronics,1
"Logitech - Keys-to-Go Bluetooth Keyboard - Blue""",49.99,Electronics,1
Cobra - Radar/Laser Detector - Multi,127.99,Electronics,1
"Epson - Expression Premium XP-830 All-In-One Printer - Black""",129.99,Electronics,1
"Epson - Expression Premium XP-830 All-In-One Printer - Black""",129.99,Electronics,1
"Legrand/Pass & Seymour - USB In-Wall Charging Outlet - White""",17.99,Electronics,1
"LeapFrog - LeapPad Platinum - 7"" - 8GB - Green""",101.99,Electronics,1
"Brother - ADS-1500W Compact Wireless Color Desktop Scanner with Duplex and Web Connectivity - White""",179.99,Electronics,1
"Canon - PIXMA MG7720 White Wireless All-In-One Printer - White""",129.99,Electronics,1
CyberPower - RoadTrip 175 Power Inverter - Black,54.99,Electronics,1
"Splatoon - Nintendo Wii U""",59.99,Electronics,1
"PNY - Attaché 8GB USB 2.0 Flash Drive - Black""",5.99,Electronics,1
"Brother - HL-3170CDW Color Laser Printer - Black""",179.99,Electronics,1
